permit,city,state,zip,district,date_issued,lat,lng
439.0,Nashville,TN,37207,8.0,05/26/2015,36.244945,-86.780061
430.0,Nashville,TN,37214,15.0,05/01/2015,36.138995,-86.70723100000002
221.0,Nashville,TN,37205,24.0,12/31/2014,36.142469,-86.907263
126.0,Nashville,TN,37214,15.0,06/25/2012,36.138995,-86.70723100000002
274.0,Nashville,TN,37209,23.0,12/01/2015,36.154599,-86.879487
221.0,Nashville,TN,37211,26.0,11/30/2015,36.089132,-86.734578
262.0,Nashville,TN,37206,6.0,01/06/2015,36.21595,-86.719624
224.0,Nashville,TN,37206,5.0,07/09/2013,36.17095,-86.784624
408.0,Nashville,TN,37115,7.0,03/17/2015,36.262567,-86.664171
236.0,Nashville,TN,37206,6.0,12/29/2014,36.21095,-86.709624
310.0,Nashville,TN,37209,20.0,01/02/2005,36.119599,-86.904487
226.0,Nashville,TN,37072,3.0,12/01/2015,36.355389,-86.701255
412.0,Nashville,TN,37216,8.0,04/06/2015,36.216134,-86.716204
286.0,Nashville,TN,37221,35.0,12/10/2014,36.054367,-86.92029000000002
54.0,Nashville,TN,37204,6.0,12/03/2014,36.144305,-86.741748
456.0,Nashville,TN,37207,5.0,06/24/2015,36.269945,-86.780061
325.0,Nashville,TN,37216,7.0,11/19/2014,36.196134,-86.716204
